1SG 	Sapthagiri College of Engineering
1SC 	Sct Institute of Technology
2SD 	Sdm College of Engineering and Technology
1SP 	Sea College of Engineering and Technology
2SA 	Secab Institute of Engineering and Technology
2HA 	SHAIKH COLLEGE OF ENGINEERING AND TECHNOLOGY
1HS 	SHASHIB COLLEGE OF ENGINEERING
1SB 	Shirdi Sai Engineering College
4SH 	Shree Devi Institute of Technologyu
4MW 	SHRI MADHWA VADIRAJA INSTITUTE OF TECHNOLOGY & MANAGEMENT
1SV 	Shridevi Institute of Engineering and Technology
1SI 	Siddaganga Institute of Technology
1MV 	Sir M. Visvesvaraya Institute of Technology
1JB 	Sjb Institute of Technology
4SM 	Sjm Institute of Technology
3SL 	Sln College of Engineering
2KA 	Smt. Kamala and Sri Venkappa M. Agadi College of Engineering and Technology
1SW 	SRI BASAVESHWAR INSTITUTE OF TECHNOLOGY
1BN 	Sri Belimatha Maha Sahamsthana Institute of Technology
1BJ 	Sri Bhagawan Mahaveer Jain College of Engineering
4SU 	Sri Dharmasthal Manjunatheshwar Institute of Technology
4JC 	Sri Jayachamarajendra College of Engineering
4JE 	Sri Jayachamrajendra College off Engg. Evening
1KT 	Sri Krishna Institute of Technology
1KH		SRI KRISHNA SCHOOL OF ENGINEERING MANAGEMENT
1RC		Sri Revanasiddeshwara Institute of Technology
1SS 	Sri Siddhartha Institute of Technology
2TG 	Sri Tontadaraya College of Engineering
1VE 	Sri Venkateshwara College of Engineering
4SN 	Srinivas Institute of Technology
4ES 	SRINIVAS SCHOOL OF ENGINEERING
4SO 	St.Jospeh Engineering College
1TJ 	T. John Institute of Technology
2VS 	V S M�..S INSTITUTE OF TECHNOLOGY
3VN 	VEERAPPA NISTY ENGINEERING COLLEGE
1VI 	Vemana Institute of Technology
4VV 	Vidya Vardhaka College of Enginering
4VM 	Vidya Vikas Institute of Engineering and Technology
1VJ 	VIJAYA VITTALA INSTITUTE OF TECHNOLOGY
2VD 	Vishwanatha Rao Deshpande Rural Institute of Technology
4VP 	Vivekananda College of Engineering and Technology
1VK 	Vivekananda Institute of Technology
4YG 	YAGACHI INSTITUTE OF TECHNOLOGY
1YD 	Yellamma Dasappa Institute of Technology
1DT 	DSIT Kanakapura
